file_name,set,class
stop\d2f4f431_nohash_1.wav,0,3
left\3847619e_nohash_0.wav,0,1
down\39833acb_nohash_1.wav,0,0
right\eb76bc68_nohash_0.wav,0,2
left\211b928a_nohash_1.wav,0,1
left\7cfb1618_nohash_1.wav,0,1
down\4249c833_nohash_0.wav,0,0
left\74fc51e5_nohash_1.wav,0,1
right\da27460c_nohash_3.wav,0,2
stop\ab46af55_nohash_2.wav,0,3
right\87d5e978_nohash_1.wav,0,2
up\0ea9c8ce_nohash_0.wav,0,4
up\7e7ca854_nohash_1.wav,0,4
up\8a56f36e_nohash_0.wav,0,4
left\1e9e6bdd_nohash_0.wav,0,1
down\1b42b551_nohash_1.wav,0,0
down\48bfde8e_nohash_4.wav,0,0
left\8a1c449e_nohash_1.wav,0,1
down\a80f9f53_nohash_0.wav,0,0
stop\e2362167_nohash_1.wav,0,3
left\8aa35b0c_nohash_0.wav,0,1
right\4e99c1b7_nohash_0.wav,0,2
stop\5f9cd2eb_nohash_6.wav,0,3
stop\2f0a410b_nohash_0.wav,0,3
stop\352ffbe3_nohash_1.wav,0,3
up\256c0a05_nohash_2.wav,0,4
right\513aeddf_nohash_1.wav,0,2
left\f15a354c_nohash_0.wav,0,1
down\b83c1acf_nohash_2.wav,0,0
up\61482e52_nohash_2.wav,0,4
stop\f035e2ea_nohash_3.wav,0,3
stop\4fd1443e_nohash_0.wav,0,3
stop\98ea0818_nohash_3.wav,0,3
stop\ced4e2a1_nohash_2.wav,0,3
left\b4aa9fef_nohash_0.wav,0,1
right\f6a380e7_nohash_0.wav,0,2
stop\31d68957_nohash_0.wav,0,3
left\eb0676ec_nohash_1.wav,0,1
left\bd76a7fd_nohash_4.wav,0,1
down\508e30ee_nohash_0.wav,0,0
right\dfb6450b_nohash_0.wav,0,2
right\6b7d5101_nohash_0.wav,0,2
stop\2c6446f7_nohash_1.wav,0,3
down\c2bc4489_nohash_0.wav,0,0
down\51f7a034_nohash_1.wav,0,0
left\716757ce_nohash_0.wav,0,1
down\e3e49931_nohash_0.wav,0,0
left\9db2bfe9_nohash_0.wav,0,1
left\0ac15fe9_nohash_0.wav,0,1
right\d9e9f554_nohash_0.wav,0,2
stop\facd97c0_nohash_0.wav,0,3
up\0e17f595_nohash_0.wav,0,4
left\d7ca14ef_nohash_0.wav,0,1
left\dd664d92_nohash_0.wav,0,1
stop\4c77947d_nohash_0.wav,0,3
stop\a489191a_nohash_1.wav,0,3
down\6940f7f3_nohash_0.wav,0,0
stop\ab46af55_nohash_3.wav,0,3
right\6c429c7b_nohash_0.wav,0,2
up\ff21fb59_nohash_0.wav,0,4
up\ceef6d96_nohash_2.wav,0,4
right\2927c601_nohash_1.wav,0,2
down\244cc3a5_nohash_1.wav,0,0
right\2bdbe5f7_nohash_4.wav,0,2
up\d5b963aa_nohash_1.wav,0,4
left\ad63d93c_nohash_1.wav,0,1
up\22aa3665_nohash_1.wav,0,4
down\3bc21161_nohash_2.wav,0,0
stop\c9b653a0_nohash_0.wav,0,3
stop\a77fbcfd_nohash_2.wav,0,3
stop\893705bb_nohash_20.wav,0,3
up\0fc57d61_nohash_0.wav,0,4
up\5a0bc987_nohash_0.wav,0,4
left\8781f4c1_nohash_0.wav,0,1
up\cfde27ba_nohash_0.wav,0,4
up\9b8a7439_nohash_2.wav,0,4
right\8e080ece_nohash_1.wav,0,2
left\73f20b00_nohash_3.wav,0,1
stop\f2e59fea_nohash_2.wav,0,3
down\76b58705_nohash_0.wav,0,0
left\2aca1e72_nohash_1.wav,0,1
down\8281a2a8_nohash_3.wav,0,0
left\de08912f_nohash_1.wav,0,1
up\837a0f64_nohash_3.wav,0,4
down\bdd22e4d_nohash_1.wav,0,0
down\332d33b1_nohash_2.wav,0,0
stop\6f689791_nohash_1.wav,0,3
left\b8872c20_nohash_0.wav,0,1
down\b36c27c2_nohash_0.wav,0,0
up\d0fb9ff4_nohash_0.wav,0,4
right\377e916b_nohash_0.wav,0,2
down\1ed0b13d_nohash_0.wav,0,0
left\24befdb3_nohash_2.wav,0,1
stop\0b40aa8e_nohash_0.wav,0,3
right\36050ef3_nohash_0.wav,0,2
up\6727b579_nohash_0.wav,0,4
stop\44f68a83_nohash_0.wav,0,3
up\e102119e_nohash_0.wav,0,4
right\238c112c_nohash_1.wav,0,2
left\5c8af87a_nohash_4.wav,0,1
left\4abb2400_nohash_0.wav,0,1
down\1b42b551_nohash_3.wav,0,0
stop\9a8d8d34_nohash_2.wav,0,3
right\6ceeb9aa_nohash_1.wav,0,2
down\6a2fb9a5_nohash_0.wav,0,0
stop\3a69f765_nohash_4.wav,0,3
right\1e4064b8_nohash_1.wav,0,2
right\b69002d4_nohash_4.wav,0,2
right\3b3d2f59_nohash_4.wav,0,2
up\0b7ee1a0_nohash_0.wav,0,4
left\3cdecb0b_nohash_0.wav,0,1
stop\7910d292_nohash_0.wav,0,3
left\9e46cfa1_nohash_3.wav,0,1
left\2b5e346d_nohash_0.wav,0,1
up\171edea9_nohash_2.wav,0,4
down\db9cfc88_nohash_0.wav,0,0
up\ea356919_nohash_0.wav,0,4
down\3a69f765_nohash_2.wav,0,0
down\42398aab_nohash_0.wav,0,0
right\a591c2ea_nohash_0.wav,0,2
down\70a00e98_nohash_3.wav,0,0
stop\af130f12_nohash_0.wav,0,3
down\30060aba_nohash_0.wav,0,0
right\d0faf7e4_nohash_0.wav,0,2
stop\d91a159e_nohash_0.wav,0,3
down\cc4f9250_nohash_2.wav,0,0
right\953fe1ad_nohash_0.wav,0,2
left\f9643d42_nohash_2.wav,0,1
down\189cbabe_nohash_0.wav,0,0
right\620ff0fa_nohash_1.wav,0,2
down\af130f12_nohash_1.wav,0,0
down\ceef6d96_nohash_0.wav,0,0
down\763188c4_nohash_2.wav,0,0
left\c5a1e46c_nohash_3.wav,0,1
stop\82e7204d_nohash_0.wav,0,3
stop\da7689f1_nohash_0.wav,0,3
stop\c79159aa_nohash_4.wav,0,3
right\de89e2ca_nohash_5.wav,0,2
up\773e26f7_nohash_2.wav,0,4
down\7c83c5f6_nohash_4.wav,0,0
right\7e7ca854_nohash_0.wav,0,2
left\b69002d4_nohash_1.wav,0,1
right\3d53244b_nohash_3.wav,0,2
right\28ce0c58_nohash_1.wav,0,2
down\2796ac50_nohash_0.wav,0,0
left\c1e0e8e3_nohash_3.wav,0,1
right\f6a380e7_nohash_1.wav,0,2
down\b2ae3928_nohash_4.wav,0,0
stop\e54a0f16_nohash_0.wav,0,3
up\c7b4049e_nohash_1.wav,0,4
down\4845bb10_nohash_0.wav,0,0
down\f2e9b610_nohash_3.wav,0,0
up\4fd1443e_nohash_3.wav,0,4
down\30137d34_nohash_0.wav,0,0
up\3b4f8f24_nohash_3.wav,0,4
stop\c44d2a58_nohash_1.wav,0,3
down\a77fbcfd_nohash_1.wav,0,0
up\e5afa9b0_nohash_1.wav,0,4
down\d070ea86_nohash_0.wav,0,0
down\adebe223_nohash_1.wav,0,0
right\44bc77f7_nohash_0.wav,0,2
left\1a4259c3_nohash_0.wav,0,1
left\b69002d4_nohash_4.wav,0,1
left\692a88e6_nohash_4.wav,0,1
down\c7dc7278_nohash_3.wav,0,0
up\6e8b9b7b_nohash_1.wav,0,4
down\ab9b93e4_nohash_0.wav,0,0
up\1678e6f1_nohash_2.wav,0,4
right\7bae88ed_nohash_0.wav,0,2
left\893705bb_nohash_8.wav,0,1
up\56f8a100_nohash_1.wav,0,4
left\9be15e93_nohash_3.wav,0,1
stop\bdee441c_nohash_4.wav,0,3
stop\8281a2a8_nohash_0.wav,0,3
left\91bed2e0_nohash_0.wav,0,1
down\2aca1e72_nohash_8.wav,0,0
up\abbfc3b4_nohash_0.wav,0,4
down\ccfd721c_nohash_0.wav,0,0
down\7211390b_nohash_3.wav,0,0
left\ab46af55_nohash_1.wav,0,1
stop\b97c9f77_nohash_3.wav,0,3
down\df1d5024_nohash_2.wav,0,0
stop\d7529c0c_nohash_1.wav,0,3
up\1bc45db9_nohash_0.wav,0,4
right\4fd1443e_nohash_0.wav,0,2
left\893705bb_nohash_2.wav,0,1
left\050170cb_nohash_0.wav,0,1
down\171edea9_nohash_1.wav,0,0
down\a879a2c3_nohash_1.wav,0,0
up\27c24504_nohash_3.wav,0,4
right\24befdb3_nohash_4.wav,0,2
right\f798ac78_nohash_0.wav,0,2
left\a1cff772_nohash_0.wav,0,1
down\0ba018fc_nohash_4.wav,0,0
stop\1ed0b13d_nohash_3.wav,0,3
left\98ea0818_nohash_4.wav,0,1
down\e882abb2_nohash_3.wav,0,0
left\4649256f_nohash_0.wav,0,1
left\20174140_nohash_0.wav,0,1
down\5744b6a7_nohash_0.wav,0,0
up\61abbf52_nohash_1.wav,0,4
stop\d4082f3e_nohash_0.wav,0,3
stop\f2a90886_nohash_1.wav,0,3
left\38d78313_nohash_2.wav,0,1
left\333d7ddb_nohash_1.wav,0,1
down\13dce503_nohash_0.wav,0,0
stop\8a0457c9_nohash_0.wav,0,3
left\338dacf5_nohash_0.wav,0,1
up\8012c69d_nohash_0.wav,0,4
stop\418e7158_nohash_1.wav,0,3
right\34e8c726_nohash_0.wav,0,2
up\13199b79_nohash_0.wav,0,4
down\33903159_nohash_1.wav,0,0
stop\421ed23f_nohash_0.wav,0,3
down\dca2797e_nohash_4.wav,0,0
down\5e3dde6b_nohash_1.wav,0,0
stop\dca2797e_nohash_4.wav,0,3
up\b7a6f709_nohash_2.wav,0,4
stop\3df9a3d4_nohash_0.wav,0,3
up\412c675c_nohash_0.wav,0,4
right\86fa2dcd_nohash_0.wav,0,2
up\54d9ccb5_nohash_1.wav,0,4
down\c4cfbe43_nohash_0.wav,0,0
up\c98bbbd3_nohash_2.wav,0,4
stop\1afd49bf_nohash_0.wav,0,3
down\15dd287d_nohash_2.wav,0,0
left\1995cf9e_nohash_1.wav,0,1
left\d264f7b6_nohash_4.wav,0,1
left\3a929277_nohash_2.wav,0,1
up\93bbf0bd_nohash_0.wav,0,4
left\333784b7_nohash_2.wav,0,1
up\9a76f8c3_nohash_2.wav,0,4
down\cd85758f_nohash_0.wav,0,0
up\b5552931_nohash_4.wav,0,4
right\6c429c7b_nohash_1.wav,0,2
left\ff63ab0b_nohash_0.wav,0,1
right\229978fd_nohash_4.wav,0,2
left\919d3c0e_nohash_0.wav,0,1
left\db24628d_nohash_2.wav,0,1
stop\2ce7534c_nohash_1.wav,0,3
left\71d0ded4_nohash_4.wav,0,1
up\4874a7e9_nohash_0.wav,0,4
stop\6d818f6c_nohash_1.wav,0,3
right\ffd2ba2f_nohash_4.wav,0,2
stop\951cac20_nohash_0.wav,0,3
right\81332c92_nohash_2.wav,0,2
stop\654772d3_nohash_0.wav,0,3
left\645ed69d_nohash_0.wav,0,1
up\42f81601_nohash_2.wav,0,4
stop\8a1c449e_nohash_1.wav,0,3
up\cc71bada_nohash_1.wav,0,4
down\d5b963aa_nohash_3.wav,0,0
up\97addd88_nohash_0.wav,0,4
left\67bdbf56_nohash_2.wav,0,1
down\15dd287d_nohash_0.wav,0,0
stop\9a8d8d34_nohash_1.wav,0,3
down\2d82a556_nohash_0.wav,0,0
stop\5170b77f_nohash_3.wav,0,3
up\37dca74f_nohash_2.wav,0,4
stop\e2286c18_nohash_0.wav,0,3
left\e9323bd9_nohash_0.wav,0,1
stop\51055bda_nohash_1.wav,0,3
up\616420be_nohash_1.wav,0,4
stop\4fd1443e_nohash_1.wav,0,3
stop\b76f6088_nohash_1.wav,0,3
stop\f2a90886_nohash_0.wav,0,3
left\61d3e51e_nohash_1.wav,0,1
down\0d6d7360_nohash_1.wav,0,0
down\723efc4c_nohash_0.wav,0,0
left\879a2b38_nohash_0.wav,0,1
down\13a93b33_nohash_0.wav,0,0
up\e4b02540_nohash_0.wav,0,4
stop\5bf1f1cb_nohash_0.wav,0,3
down\bdd22e4d_nohash_4.wav,0,0
down\529eda42_nohash_1.wav,0,0
right\37a3cd33_nohash_2.wav,0,2
left\7d149b38_nohash_0.wav,0,1
right\9f93e408_nohash_2.wav,0,2
left\3b195250_nohash_1.wav,0,1
stop\ca48dc76_nohash_0.wav,0,3
down\56eb74ae_nohash_0.wav,0,0
up\0b7ee1a0_nohash_3.wav,0,4
up\cc554de3_nohash_3.wav,0,4
right\cb802c63_nohash_0.wav,0,2
left\38c388bc_nohash_0.wav,0,1
right\c50f55b8_nohash_7.wav,0,2
left\2fcb6397_nohash_1.wav,0,1
up\7e4fa1d8_nohash_0.wav,0,4
down\1ed0b13d_nohash_2.wav,0,0
up\402e2977_nohash_1.wav,0,4
stop\499be02e_nohash_2.wav,0,3
left\9c59dd28_nohash_1.wav,0,1
left\3a7d8872_nohash_0.wav,0,1
right\017c4098_nohash_1.wav,0,2
left\fd5ccd39_nohash_3.wav,0,1
down\4fce7686_nohash_0.wav,0,0
left\18a1aab9_nohash_0.wav,0,1
down\8e523821_nohash_3.wav,0,0
right\31601aad_nohash_0.wav,0,2
stop\3a69f765_nohash_0.wav,0,3
right\64e48f55_nohash_0.wav,0,2
right\721f767c_nohash_0.wav,0,2
up\3589bc72_nohash_1.wav,0,4
up\1eddce1d_nohash_1.wav,0,4
left\b0f5b16d_nohash_3.wav,0,1
right\2fcb6397_nohash_1.wav,0,2
stop\52e228e9_nohash_1.wav,0,3
down\8d5e1dc0_nohash_0.wav,0,0
up\cc6ee39b_nohash_1.wav,0,4
left\d98dd124_nohash_4.wav,0,1
right\af30314d_nohash_0.wav,0,2
stop\1e9b215e_nohash_1.wav,0,3
right\b66f4f93_nohash_7.wav,0,2
down\14587ff0_nohash_0.wav,0,0
up\cd68e997_nohash_0.wav,0,4
up\f00180d0_nohash_0.wav,0,4
left\2c7c33e8_nohash_0.wav,0,1
left\c7dc7278_nohash_2.wav,0,1
right\dea820ce_nohash_3.wav,0,2
left\7dc50b88_nohash_0.wav,0,1
stop\b49caed3_nohash_3.wav,0,3
down\25e95412_nohash_3.wav,0,0
left\85c60942_nohash_1.wav,0,1
up\1ffd513b_nohash_0.wav,0,4
left\ab00c4b2_nohash_1.wav,0,1
up\8a2d34d7_nohash_1.wav,0,4
up\07089da9_nohash_2.wav,0,4
up\990ebd1f_nohash_0.wav,0,4
left\8e523821_nohash_0.wav,0,1
right\7f74626f_nohash_2.wav,0,2
right\59fe87e6_nohash_1.wav,0,2
stop\c120e80e_nohash_1.wav,0,3
right\91b03183_nohash_1.wav,0,2
up\772db621_nohash_0.wav,0,4
stop\472b8045_nohash_1.wav,0,3
down\67bdbf56_nohash_0.wav,0,0
right\b5cf6ea8_nohash_2.wav,0,2
down\6cf5459b_nohash_1.wav,0,0
stop\a827e3a1_nohash_2.wav,0,3
up\d571f9d7_nohash_0.wav,0,4
down\f2e59fea_nohash_1.wav,0,0
down\f01a0d63_nohash_3.wav,0,0
down\22296dbe_nohash_1.wav,0,0
right\a9b4c2ef_nohash_0.wav,0,2
stop\1b18600d_nohash_0.wav,0,3
right\d8c314c0_nohash_0.wav,0,2
up\ea0cf37f_nohash_1.wav,0,4
right\97e0c576_nohash_0.wav,0,2
left\131e738d_nohash_1.wav,0,1
stop\5b32733e_nohash_0.wav,0,3
down\28e47b1a_nohash_2.wav,0,0
right\28e47b1a_nohash_2.wav,0,2
right\821b64cc_nohash_3.wav,0,2
stop\d78858d9_nohash_0.wav,0,3
up\0f46028a_nohash_2.wav,0,4
left\3c257192_nohash_1.wav,0,1
left\61482e52_nohash_4.wav,0,1
right\195c120a_nohash_2.wav,0,2
down\dd6c6806_nohash_1.wav,0,0
up\d98dd124_nohash_2.wav,0,4
left\9b02d503_nohash_2.wav,0,1
left\39a12648_nohash_3.wav,0,1
right\da2c5f1b_nohash_0.wav,0,2
up\437455be_nohash_0.wav,0,4
right\e3e0f145_nohash_0.wav,0,2
down\19e246ad_nohash_0.wav,0,0
down\4fd1443e_nohash_3.wav,0,0
left\f953e1af_nohash_3.wav,0,1
up\a6d586b7_nohash_1.wav,0,4
down\7e556a2c_nohash_0.wav,0,0
up\5be23def_nohash_0.wav,0,4
up\106a6183_nohash_0.wav,0,4
right\0a196374_nohash_2.wav,0,2
stop\652b3da7_nohash_0.wav,0,3
left\3777c08e_nohash_1.wav,0,1
up\1ed0b13d_nohash_0.wav,0,4
down\1970b130_nohash_2.wav,0,0
down\2296b1af_nohash_1.wav,0,0
up\50928b05_nohash_0.wav,0,4
stop\7dc95912_nohash_0.wav,0,3
up\4fd1443e_nohash_2.wav,0,4
right\fbb2f6cc_nohash_2.wav,0,2
left\22296dbe_nohash_1.wav,0,1
left\b414c653_nohash_0.wav,0,1
right\3d53244b_nohash_4.wav,0,2
left\dea820ce_nohash_3.wav,0,1
stop\c9e251d2_nohash_0.wav,0,3
left\65040d9b_nohash_3.wav,0,1
up\ace072ba_nohash_0.wav,0,4
down\8bf6acb9_nohash_0.wav,0,0
stop\197f4153_nohash_2.wav,0,3
up\71d0ded4_nohash_2.wav,0,4
stop\2fee065a_nohash_1.wav,0,3
down\f15a354c_nohash_2.wav,0,0
up\78884794_nohash_0.wav,0,4
stop\d9b50b8b_nohash_0.wav,0,3
right\6aa8def4_nohash_1.wav,0,2
left\cc6ee39b_nohash_2.wav,0,1
stop\92521ccc_nohash_0.wav,0,3
right\b21f0fa4_nohash_0.wav,0,2
down\6c429c7b_nohash_0.wav,0,0
right\ba676390_nohash_0.wav,0,2
left\fbb2f6cc_nohash_4.wav,0,1
left\197f4153_nohash_0.wav,0,1
up\079dfce3_nohash_0.wav,0,4
up\4a1e736b_nohash_3.wav,0,4
stop\acfd3bc3_nohash_1.wav,0,3
up\9d32f10a_nohash_1.wav,0,4
left\7211390b_nohash_4.wav,0,1
stop\7f74626f_nohash_0.wav,0,3
up\f9643d42_nohash_1.wav,0,4
stop\f8ba7c0e_nohash_2.wav,0,3
left\ea0cf37f_nohash_0.wav,0,1
down\e7d0eb3f_nohash_0.wav,0,0
stop\cdee383b_nohash_3.wav,0,3
down\9886d8bf_nohash_2.wav,0,0
up\c948d727_nohash_0.wav,0,4
left\10ace7eb_nohash_4.wav,0,1
left\95218ce8_nohash_0.wav,0,1
right\c50f55b8_nohash_8.wav,0,2
down\4995d875_nohash_2.wav,0,0
up\888a0c49_nohash_0.wav,0,4
down\2fcb6397_nohash_3.wav,0,0
up\41474817_nohash_0.wav,0,4
down\97f4c236_nohash_2.wav,0,0
left\9a76f8c3_nohash_2.wav,0,1
stop\513aeddf_nohash_1.wav,0,3
stop\321aba74_nohash_1.wav,0,3
down\144d27ff_nohash_2.wav,0,0
right\322d17d3_nohash_1.wav,0,2
stop\833d9f56_nohash_0.wav,0,3
up\9d32f10a_nohash_0.wav,0,4
left\113b3fbc_nohash_2.wav,0,1
right\1b459024_nohash_0.wav,0,2
stop\893705bb_nohash_7.wav,0,3
right\ec21c46b_nohash_2.wav,0,2
stop\f5626af6_nohash_0.wav,0,3
stop\efbc3952_nohash_1.wav,0,3
stop\857366dd_nohash_0.wav,0,3
left\067f61e2_nohash_2.wav,0,1
stop\7e7ca854_nohash_2.wav,0,3
down\25e95412_nohash_0.wav,0,0
up\8fe67225_nohash_2.wav,0,4
down\da4ef063_nohash_0.wav,0,0
stop\48e8b82a_nohash_0.wav,0,3
right\32ad5b65_nohash_0.wav,0,2
right\3bfd30e6_nohash_3.wav,0,2
up\fbe51750_nohash_0.wav,0,4
left\6ef407da_nohash_1.wav,0,1
up\7fd25f7c_nohash_3.wav,0,4
down\48bfde8e_nohash_3.wav,0,0
left\c351e611_nohash_1.wav,0,1
left\fd5ccd39_nohash_4.wav,0,1
left\1ecfb537_nohash_2.wav,0,1
right\f30285c8_nohash_3.wav,0,2
right\a4e8a997_nohash_0.wav,0,2
left\ceef6d96_nohash_3.wav,0,1
up\9e46cfa1_nohash_1.wav,0,4
right\4bb1244f_nohash_2.wav,0,2
left\7f74626f_nohash_1.wav,0,1
down\3dfd6c23_nohash_1.wav,0,0
left\e9bc5cc2_nohash_1.wav,0,1
left\1c84a139_nohash_0.wav,0,1
down\235b444f_nohash_3.wav,0,0
down\41dce6f5_nohash_0.wav,0,0
down\3cc595de_nohash_2.wav,0,0
up\15574821_nohash_1.wav,0,4
up\18f8afd5_nohash_4.wav,0,4
up\c38720cb_nohash_0.wav,0,4
down\d31d8dd7_nohash_0.wav,0,0
stop\1e31353f_nohash_0.wav,0,3
down\ec545975_nohash_0.wav,0,0
left\5aac2efa_nohash_1.wav,0,1
up\0ba018fc_nohash_0.wav,0,4
down\43b85b64_nohash_0.wav,0,0
up\6904f0cb_nohash_0.wav,0,4
left\9e42ae25_nohash_1.wav,0,1
down\27c24504_nohash_4.wav,0,0
up\bdee441c_nohash_0.wav,0,4
up\88053e92_nohash_0.wav,0,4
stop\fb8c31a9_nohash_2.wav,0,3
left\893705bb_nohash_0.wav,0,1
down\ddedba85_nohash_1.wav,0,0
up\ace072ba_nohash_1.wav,0,4
stop\435695e3_nohash_1.wav,0,3
up\4f256313_nohash_0.wav,0,4
right\11099149_nohash_1.wav,0,2
up\472b8045_nohash_0.wav,0,4
right\96d8bb6f_nohash_1.wav,0,2
right\5a5721f8_nohash_0.wav,0,2
stop\c948d727_nohash_1.wav,0,3
down\2cec1d47_nohash_1.wav,0,0
left\d8a5ace5_nohash_0.wav,0,1
right\e3e0f145_nohash_1.wav,0,2
right\40b60ae9_nohash_0.wav,0,2
